created_at,sum(frequency)
2020-01-29,207654
2020-02-13,13529
2020-04-12,48333
2020-03-02,34831
2020-04-26,54651
2020-04-27,54321
2020-02-25,13765
2020-04-23,55469
2020-03-11,38922
2020-03-27,49321
2020-04-09,54592
2020-01-28,101650
2020-02-20,54807
2020-05-03,61666
2020-02-07,48366
2020-02-14,55354
2020-04-15,59850
2020-04-02,52276
2020-03-31,52955
2020-02-15,38573
2020-04-29,48724
2020-02-29,117361
2020-04-07,59535
2020-04-18,54779
2020-04-16,57895
2020-02-12,48192
2020-04-04,51731
2020-05-02,56112
2020-03-13,42628
2020-03-03,248455
2020-01-31,155520
2020-04-13,51444
2020-02-26,31991
2020-03-16,39710
2020-03-24,52768
2020-04-25,53178
2020-03-28,57415
2020-02-19,43215
2020-02-05,37983
2020-04-17,48269
2020-03-25,50733
2020-02-24,41349
2020-03-29,58024
2020-02-11,34733
2020-01-24,82902
2020-05-04,69114
2020-03-19,44342
2020-03-08,38295
2020-05-06,55661
2020-04-11,56051
2020-02-01,17674
2020-04-01,59705
2020-01-26,161112
2020-02-16,36005
2020-03-17,44319
2020-03-10,40843
2020-04-19,55941
2020-03-04,231168
2020-02-08,43380
2020-05-08,55630
2020-01-22,2741
2020-04-08,58197
2020-03-12,52449
2020-05-07,56398
2020-01-23,21535
2020-03-06,53662
2020-03-05,54429
2020-02-03,51286
2020-02-18,51127
2020-02-17,51504
2020-03-07,50837
2020-02-21,46621
2020-02-06,44336
2020-01-25,125457
2020-04-24,51197
2020-04-05,52559
2020-04-03,51118
2020-03-01,165666
2020-03-21,49233
2020-03-15,43008
2020-02-10,55786
2020-02-02,50372
2020-03-20,46211
2020-02-04,56001
2020-03-26,47721
2020-04-10,55132
2020-02-22,30786
2020-01-27,97343
2020-01-30,217326
2020-04-20,49070
2020-04-21,55734
2020-04-30,52254
2020-03-22,50028
2020-04-22,57281
2020-03-09,41094
2020-04-14,58425
2020-04-06,54119
2020-03-14,46358
2020-03-18,47271
2020-04-28,53786
2020-02-09,46460
2020-03-23,52283
2020-03-30,55811
2020-02-27,37897
2020-05-01,58227
2020-05-05,63570
2020-02-28,44823
